Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
0,,,,,50.0,,,,,
1,,,,,50.0,,,,,
2,,,,,50.0,,,,,
3,,,,,50.0,,,,,
4,,,,,50.0,,,,,
5,,,,,50.0,,,,,
6,,,,,50.0,,,,,
7,,,,,50.0,,,,,
8,,,,,50.0,,,,,
9,,,,,50.0,,,,,
10,,,,,50.0,,,,,
11,,,,,50.0,,,,,
12,,,,,50.0,,,,,
13,,,,,50.0,,,,,
14,,,,,50.0,,,,,
15,,,,,50.0,,,,,
16,,,,,50.0,,,,,
17,,,,,50.0,,,,,
18,,,,,50.0,,,,,
19,,,,,50.0,,,,,
20,,,,,50.0,,,,,
21,,,,,50.0,,,,,
22,,,,,50.0,,,,,
23,,,,,50.0,,,,,
24,,,,,50.0,,,,,
