Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Sweden,Sweden,SE,13.4,35.25,98.37,60.13,entsoe.eu,false,
2023-01-01 01:00:00,Sweden,Sweden,SE,15.46,38.02,98.08,60.32,entsoe.eu,false,
2023-01-01 02:00:00,Sweden,Sweden,SE,15.79,38.48,98.04,60.39,entsoe.eu,false,
2023-01-01 03:00:00,Sweden,Sweden,SE,14.67,37.24,98.19,59.67,entsoe.eu,false,
2023-01-01 04:00:00,Sweden,Sweden,SE,13.7,35.98,98.34,59.96,entsoe.eu,false,
2023-01-01 05:00:00,Sweden,Sweden,SE,12.58,34.49,98.48,59.79,entsoe.eu,false,
2023-01-01 06:00:00,Sweden,Sweden,SE,12.96,35.09,98.44,60.58,entsoe.eu,false,
2023-01-01 07:00:00,Sweden,Sweden,SE,14.64,37.61,98.22,61.49,entsoe.eu,false,
2023-01-01 08:00:00,Sweden,Sweden,SE,15.19,38.69,98.18,63.08,entsoe.eu,false,
2023-01-01 09:00:00,Sweden,Sweden,SE,21.78,46.21,97.56,63.73,entsoe.eu,false,
2023-01-01 10:00:00,Sweden,Sweden,SE,25.53,50.27,97.18,62.95,entsoe.eu,false,
2023-01-01 11:00:00,Sweden,Sweden,SE,24.36,49.76,97.24,63.63,entsoe.eu,false,
2023-01-01 12:00:00,Sweden,Sweden,SE,30.13,56.36,96.68,63.36,entsoe.eu,false,
2023-01-01 13:00:00,Sweden,Sweden,SE,24.15,49.85,97.35,65.01,entsoe.eu,false,
2023-01-01 14:00:00,Sweden,Sweden,SE,16.51,41.75,98.21,66.03,entsoe.eu,false,
2023-01-01 15:00:00,Sweden,Sweden,SE,5.34,27.73,99.41,67.93,entsoe.eu,false,
2023-01-01 16:00:00,Sweden,Sweden,SE,5.69,27.91,99.35,68.8,entsoe.eu,false,
2023-01-01 17:00:00,Sweden,Sweden,SE,5.85,26.6,99.32,69.52,entsoe.eu,false,
2023-01-01 18:00:00,Sweden,Sweden,SE,6.93,27.86,99.19,69.54,entsoe.eu,false,
2023-01-01 19:00:00,Sweden,Sweden,SE,7.57,28.17,99.07,68.98,entsoe.eu,false,
2023-01-01 20:00:00,Sweden,Sweden,SE,5.14,25.33,99.4,68.19,entsoe.eu,false,
2023-01-01 21:00:00,Sweden,Sweden,SE,5.84,26.3,99.29,68.61,entsoe.eu,false,
2023-01-01 22:00:00,Sweden,Sweden,SE,7.09,27.84,99.11,67.4,entsoe.eu,false,
2023-01-01 23:00:00,Sweden,Sweden,SE,6.67,27.64,99.15,66.41,entsoe.eu,false,
2023-01-02 00:00:00,Sweden,Sweden,SE,8.01,29.82,98.99,65.28,entsoe.eu,false,
2023-01-02 01:00:00,Sweden,Sweden,SE,9.65,31.93,98.81,65.01,entsoe.eu,false,
2023-01-02 02:00:00,Sweden,Sweden,SE,9.32,31.72,98.85,64.75,entsoe.eu,false,
2023-01-02 03:00:00,Sweden,Sweden,SE,10.34,33.03,98.73,64.68,entsoe.eu,false,
2023-01-02 04:00:00,Sweden,Sweden,SE,8.57,30.76,99.0,67.14,entsoe.eu,false,
2023-01-02 05:00:00,Sweden,Sweden,SE,9.33,32.48,98.93,68.5,entsoe.eu,false,
2023-01-02 06:00:00,Sweden,Sweden,SE,5.2,27.7,99.44,69.68,entsoe.eu,false,
2023-01-02 07:00:00,Sweden,Sweden,SE,3.68,26.53,99.61,70.54,entsoe.eu,false,
2023-01-02 08:00:00,Sweden,Sweden,SE,13.37,37.31,98.55,71.19,entsoe.eu,false,
2023-01-02 09:00:00,Sweden,Sweden,SE,16.93,41.78,98.16,70.63,entsoe.eu,false,
2023-01-02 10:00:00,Sweden,Sweden,SE,17.16,42.32,98.25,70.13,entsoe.eu,false,
2023-01-02 11:00:00,Sweden,Sweden,SE,15.69,40.98,98.27,70.77,entsoe.eu,false,
2023-01-02 12:00:00,Sweden,Sweden,SE,22.76,49.11,97.52,70.52,entsoe.eu,false,
2023-01-02 13:00:00,Sweden,Sweden,SE,20.89,46.6,97.72,70.95,entsoe.eu,false,
2023-01-02 14:00:00,Sweden,Sweden,SE,11.53,36.89,98.55,71.55,entsoe.eu,false,
2023-01-02 15:00:00,Sweden,Sweden,SE,13.78,39.71,98.28,71.43,entsoe.eu,false,
2023-01-02 16:00:00,Sweden,Sweden,SE,11.45,36.57,98.6,72.52,entsoe.eu,false,
2023-01-02 17:00:00,Sweden,Sweden,SE,2.72,26.17,99.71,72.6,entsoe.eu,false,
2023-01-02 18:00:00,Sweden,Sweden,SE,2.07,25.21,99.82,72.58,entsoe.eu,false,
2023-01-02 19:00:00,Sweden,Sweden,SE,2.61,25.49,99.74,72.92,entsoe.eu,false,
2023-01-02 20:00:00,Sweden,Sweden,SE,5.2,28.52,99.36,73.07,entsoe.eu,false,
2023-01-02 21:00:00,Sweden,Sweden,SE,4.54,27.78,99.44,72.46,entsoe.eu,false,
2023-01-02 22:00:00,Sweden,Sweden,SE,2.85,25.55,99.7,72.29,entsoe.eu,false,
2023-01-02 23:00:00,Sweden,Sweden,SE,3.45,26.88,99.65,69.3,entsoe.eu,false,
2023-01-03 00:00:00,Sweden,Sweden,SE,5.21,29.39,99.43,67.98,entsoe.eu,false,
2023-01-03 01:00:00,Sweden,Sweden,SE,5.09,29.47,99.41,68.67,entsoe.eu,false,
2023-01-03 02:00:00,Sweden,Sweden,SE,5.48,30.14,99.36,68.96,entsoe.eu,false,
2023-01-03 03:00:00,Sweden,Sweden,SE,3.56,27.85,99.63,69.71,entsoe.eu,false,
2023-01-03 04:00:00,Sweden,Sweden,SE,3.54,28.26,99.63,70.88,entsoe.eu,false,
2023-01-03 05:00:00,Sweden,Sweden,SE,2.11,26.08,99.82,72.69,entsoe.eu,false,
2023-01-03 06:00:00,Sweden,Sweden,SE,2.04,25.74,99.83,73.32,entsoe.eu,false,
2023-01-03 07:00:00,Sweden,Sweden,SE,1.91,25.54,99.86,74.25,entsoe.eu,false,
2023-01-03 08:00:00,Sweden,Sweden,SE,1.89,25.64,99.87,74.35,entsoe.eu,false,
2023-01-03 09:00:00,Sweden,Sweden,SE,1.91,26.03,99.87,74.5,entsoe.eu,false,
2023-01-03 10:00:00,Sweden,Sweden,SE,2.27,26.85,99.83,74.0,entsoe.eu,false,
2023-01-03 11:00:00,Sweden,Sweden,SE,1.92,26.4,99.88,73.4,entsoe.eu,false,
2023-01-03 12:00:00,Sweden,Sweden,SE,2.34,26.69,99.81,73.45,entsoe.eu,false,
2023-01-03 13:00:00,Sweden,Sweden,SE,2.03,25.88,99.83,74.67,entsoe.eu,false,
2023-01-03 14:00:00,Sweden,Sweden,SE,2.07,26.06,99.82,74.63,entsoe.eu,false,
2023-01-03 15:00:00,Sweden,Sweden,SE,2.17,26.21,99.8,75.07,entsoe.eu,false,
2023-01-03 16:00:00,Sweden,Sweden,SE,2.16,26.56,99.8,75.17,entsoe.eu,false,
2023-01-03 17:00:00,Sweden,Sweden,SE,2.15,26.54,99.81,74.42,entsoe.eu,false,
2023-01-03 18:00:00,Sweden,Sweden,SE,4.91,30.17,99.4,72.93,entsoe.eu,false,
2023-01-03 19:00:00,Sweden,Sweden,SE,8.84,34.75,98.86,71.83,entsoe.eu,false,
2023-01-03 20:00:00,Sweden,Sweden,SE,13.37,41.2,98.28,71.48,entsoe.eu,false,
2023-01-03 21:00:00,Sweden,Sweden,SE,11.72,39.02,98.51,70.63,entsoe.eu,false,
2023-01-03 22:00:00,Sweden,Sweden,SE,12.84,40.42,98.32,70.15,entsoe.eu,false,
2023-01-03 23:00:00,Sweden,Sweden,SE,14.01,42.17,98.19,69.13,entsoe.eu,false,
2023-01-04 00:00:00,Sweden,Sweden,SE,15.67,44.66,98.0,68.19,entsoe.eu,false,
2023-01-04 01:00:00,Sweden,Sweden,SE,17.74,47.32,97.75,66.55,entsoe.eu,false,
2023-01-04 02:00:00,Sweden,Sweden,SE,17.59,47.22,97.79,66.68,entsoe.eu,false,
2023-01-04 03:00:00,Sweden,Sweden,SE,15.77,44.61,98.0,67.56,entsoe.eu,false,
2023-01-04 04:00:00,Sweden,Sweden,SE,14.44,42.47,98.19,69.72,entsoe.eu,false,
2023-01-04 05:00:00,Sweden,Sweden,SE,12.78,39.71,98.44,72.57,entsoe.eu,false,
2023-01-04 06:00:00,Sweden,Sweden,SE,10.22,36.31,98.79,73.54,entsoe.eu,false,
2023-01-04 07:00:00,Sweden,Sweden,SE,9.92,35.32,98.87,74.19,entsoe.eu,false,
2023-01-04 08:00:00,Sweden,Sweden,SE,7.1,31.68,99.17,74.61,entsoe.eu,false,
2023-01-04 09:00:00,Sweden,Sweden,SE,9.11,33.84,98.94,74.63,entsoe.eu,false,
2023-01-04 10:00:00,Sweden,Sweden,SE,8.47,33.66,98.99,74.87,entsoe.eu,false,
2023-01-04 11:00:00,Sweden,Sweden,SE,7.32,32.06,99.11,74.71,entsoe.eu,false,
2023-01-04 12:00:00,Sweden,Sweden,SE,6.43,31.1,99.2,74.19,entsoe.eu,false,
2023-01-04 13:00:00,Sweden,Sweden,SE,6.13,30.63,99.25,74.48,entsoe.eu,false,
2023-01-04 14:00:00,Sweden,Sweden,SE,6.59,30.9,99.21,74.99,entsoe.eu,false,
2023-01-04 15:00:00,Sweden,Sweden,SE,6.47,30.47,99.25,75.69,entsoe.eu,false,
2023-01-04 16:00:00,Sweden,Sweden,SE,5.93,29.82,99.32,76.03,entsoe.eu,false,
2023-01-04 17:00:00,Sweden,Sweden,SE,5.21,29.41,99.4,74.67,entsoe.eu,false,
2023-01-04 18:00:00,Sweden,Sweden,SE,8.56,33.93,98.97,74.22,entsoe.eu,false,
2023-01-04 19:00:00,Sweden,Sweden,SE,13.32,39.97,98.42,72.66,entsoe.eu,false,
2023-01-04 20:00:00,Sweden,Sweden,SE,14.42,41.06,98.31,72.26,entsoe.eu,false,
2023-01-04 21:00:00,Sweden,Sweden,SE,14.49,41.61,98.32,70.78,entsoe.eu,false,
