Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Pacificorp West,US-NW-PACW,149.15,192.01,72.69,69.04,eia.gov,false,
2023-01-01 01:00:00,USA,Pacificorp West,US-NW-PACW,143.8,185.19,74.14,70.44,eia.gov,false,
2023-01-01 02:00:00,USA,Pacificorp West,US-NW-PACW,151.38,192.72,73.48,70.04,eia.gov,false,
2023-01-01 03:00:00,USA,Pacificorp West,US-NW-PACW,149.29,190.53,73.67,70.07,eia.gov,false,
2023-01-01 04:00:00,USA,Pacificorp West,US-NW-PACW,149.18,192.08,72.52,68.88,eia.gov,false,
2023-01-01 05:00:00,USA,Pacificorp West,US-NW-PACW,143.78,185.74,73.54,69.66,eia.gov,false,
2023-01-01 06:00:00,USA,Pacificorp West,US-NW-PACW,176.26,221.58,68.93,65.21,eia.gov,false,
2023-01-01 07:00:00,USA,Pacificorp West,US-NW-PACW,200.0,249.25,64.56,60.97,eia.gov,false,
2023-01-01 08:00:00,USA,Pacificorp West,US-NW-PACW,226.75,279.75,60.1,56.45,eia.gov,false,
2023-01-01 09:00:00,USA,Pacificorp West,US-NW-PACW,235.62,287.54,60.24,56.48,eia.gov,false,
2023-01-01 10:00:00,USA,Pacificorp West,US-NW-PACW,238.76,289.54,60.96,57.02,eia.gov,false,
2023-01-01 11:00:00,USA,Pacificorp West,US-NW-PACW,257.34,310.68,57.96,54.38,eia.gov,false,
2023-01-01 12:00:00,USA,Pacificorp West,US-NW-PACW,245.27,297.67,59.44,55.58,eia.gov,false,
2023-01-01 13:00:00,USA,Pacificorp West,US-NW-PACW,255.31,312.86,55.22,51.72,eia.gov,false,
2023-01-01 14:00:00,USA,Pacificorp West,US-NW-PACW,235.17,288.16,59.75,55.7,eia.gov,false,
2023-01-01 15:00:00,USA,Pacificorp West,US-NW-PACW,225.16,279.21,59.75,55.19,eia.gov,false,
2023-01-01 16:00:00,USA,Pacificorp West,US-NW-PACW,214.59,267.04,62.06,57.93,eia.gov,false,
2023-01-01 17:00:00,USA,Pacificorp West,US-NW-PACW,207.14,258.05,64.02,59.93,eia.gov,false,
2023-01-01 18:00:00,USA,Pacificorp West,US-NW-PACW,213.34,265.49,62.88,58.99,eia.gov,false,
2023-01-01 19:00:00,USA,Pacificorp West,US-NW-PACW,216.6,270.88,61.17,57.59,eia.gov,false,
2023-01-01 20:00:00,USA,Pacificorp West,US-NW-PACW,224.71,280.27,59.71,56.34,eia.gov,false,
2023-01-01 21:00:00,USA,Pacificorp West,US-NW-PACW,226.9,283.16,59.13,56.07,eia.gov,false,
2023-01-01 22:00:00,USA,Pacificorp West,US-NW-PACW,218.11,272.94,60.86,57.82,eia.gov,false,
2023-01-01 23:00:00,USA,Pacificorp West,US-NW-PACW,212.71,267.42,61.0,57.25,eia.gov,false,
2023-01-02 00:00:00,USA,Pacificorp West,US-NW-PACW,185.19,237.22,64.75,60.34,eia.gov,false,
2023-01-02 01:00:00,USA,Pacificorp West,US-NW-PACW,188.82,240.43,64.72,60.23,eia.gov,false,
2023-01-02 02:00:00,USA,Pacificorp West,US-NW-PACW,191.07,242.23,64.75,60.26,eia.gov,false,
2023-01-02 03:00:00,USA,Pacificorp West,US-NW-PACW,194.21,244.93,64.83,60.42,eia.gov,false,
2023-01-02 04:00:00,USA,Pacificorp West,US-NW-PACW,212.82,266.7,61.24,57.27,eia.gov,false,
2023-01-02 05:00:00,USA,Pacificorp West,US-NW-PACW,223.33,278.27,59.64,55.82,eia.gov,false,
2023-01-02 06:00:00,USA,Pacificorp West,US-NW-PACW,237.83,294.03,57.65,54.05,eia.gov,false,
2023-01-02 07:00:00,USA,Pacificorp West,US-NW-PACW,242.28,299.46,56.62,52.85,eia.gov,false,
2023-01-02 08:00:00,USA,Pacificorp West,US-NW-PACW,259.1,317.81,54.3,50.75,eia.gov,false,
2023-01-02 09:00:00,USA,Pacificorp West,US-NW-PACW,260.03,320.28,53.21,49.97,eia.gov,false,
2023-01-02 10:00:00,USA,Pacificorp West,US-NW-PACW,255.27,314.45,54.25,50.82,eia.gov,false,
2023-01-02 11:00:00,USA,Pacificorp West,US-NW-PACW,233.99,290.38,57.73,53.89,eia.gov,false,
2023-01-02 12:00:00,USA,Pacificorp West,US-NW-PACW,205.42,259.0,61.89,57.68,eia.gov,false,
2023-01-02 13:00:00,USA,Pacificorp West,US-NW-PACW,205.77,261.06,60.7,56.6,eia.gov,false,
2023-01-02 14:00:00,USA,Pacificorp West,US-NW-PACW,181.53,234.42,64.27,59.94,eia.gov,false,
2023-01-02 15:00:00,USA,Pacificorp West,US-NW-PACW,163.38,214.15,67.14,62.47,eia.gov,false,
2023-01-02 16:00:00,USA,Pacificorp West,US-NW-PACW,197.82,251.36,62.62,58.28,eia.gov,false,
2023-01-02 17:00:00,USA,Pacificorp West,US-NW-PACW,211.47,264.26,62.3,58.44,eia.gov,false,
2023-01-02 18:00:00,USA,Pacificorp West,US-NW-PACW,218.29,270.68,62.07,58.36,eia.gov,false,
2023-01-02 19:00:00,USA,Pacificorp West,US-NW-PACW,242.5,297.79,58.38,55.2,eia.gov,false,
2023-01-02 20:00:00,USA,Pacificorp West,US-NW-PACW,244.51,299.96,58.13,54.96,eia.gov,false,
2023-01-02 21:00:00,USA,Pacificorp West,US-NW-PACW,234.56,289.63,59.22,55.99,eia.gov,false,
2023-01-02 22:00:00,USA,Pacificorp West,US-NW-PACW,231.91,287.12,59.37,56.04,eia.gov,false,
2023-01-02 23:00:00,USA,Pacificorp West,US-NW-PACW,203.65,256.82,62.67,58.42,eia.gov,false,
2023-01-03 00:00:00,USA,Pacificorp West,US-NW-PACW,156.33,206.43,68.33,63.46,eia.gov,false,
2023-01-03 01:00:00,USA,Pacificorp West,US-NW-PACW,142.64,191.14,70.6,65.97,eia.gov,false,
2023-01-03 02:00:00,USA,Pacificorp West,US-NW-PACW,148.28,197.37,69.74,65.16,eia.gov,false,
2023-01-03 03:00:00,USA,Pacificorp West,US-NW-PACW,169.52,220.11,67.09,62.9,eia.gov,false,
2023-01-03 04:00:00,USA,Pacificorp West,US-NW-PACW,178.13,227.8,66.93,62.52,eia.gov,false,
2023-01-03 05:00:00,USA,Pacificorp West,US-NW-PACW,210.89,263.35,62.43,58.12,eia.gov,false,
2023-01-03 06:00:00,USA,Pacificorp West,US-NW-PACW,250.01,306.19,56.85,53.05,eia.gov,false,
2023-01-03 07:00:00,USA,Pacificorp West,US-NW-PACW,250.56,307.36,56.39,52.47,eia.gov,false,
2023-01-03 08:00:00,USA,Pacificorp West,US-NW-PACW,245.92,301.83,57.19,52.55,eia.gov,false,
2023-01-03 09:00:00,USA,Pacificorp West,US-NW-PACW,269.49,327.3,54.14,49.8,eia.gov,false,
2023-01-03 10:00:00,USA,Pacificorp West,US-NW-PACW,272.15,330.45,53.6,49.24,eia.gov,false,
