id;start_time;finish_time;duration;host
req-7-8255515226_0;0.0001;0.1001;0.1;bus_stop_2
req-5-8255515226_0;0.0001;0.1001;0.1;bus_stop_2
req-3-8255515226_0;0.0001;0.1001;0.1;bus_stop_2
req-0-255190984_0;0.0001;0.1001;0.1;bus_stop_2
req-4-10915667342_0;0.0001;0.1001;0.1;bus_stop_15
req-0-9143229517_0;0.0001;0.1001;0.1;bus_stop_15
req-0-1469068918_0;0.0001;0.1001;0.1;bus_stop_15
req-0-2569086820_0;0.0001;0.1001;0.1;bus_stop_15
req-4-10915667347_0;0.0001;0.1001;0.1;bus_stop_1
req-4-11378562276_0;0.0001;0.1001;0.1;bus_stop_1
req-2-11383367761_0;0.0001;0.1001;0.1;bus_stop_1
req-0-2569086698_0;0.0001;0.1001;0.1;bus_stop_1
req-2-11383382298_0;0.0001;0.1001;0.1;bus_stop_16
req-1-11383382298_0;0.0001;0.1001;0.1;bus_stop_16
req-1-11383367766_0;0.0001;0.1001;0.1;bus_stop_16
req-0-236868307_0;0.0001;0.1001;0.1;bus_stop_16
req-4-255596055_0;0.0001;0.1001;0.1;bus_stop_9
req-4-1480037155_0;0.0001;0.1001;0.1;bus_stop_9
req-1-255191075_0;0.0001;0.1001;0.1;bus_stop_9
req-1-255596028_0;0.0001;0.1001;0.1;bus_stop_9
req-6-12146782_0;0.0001;0.1001;0.1;bus_stop_13
req-4-2569086780_0;0.0001;0.1001;0.1;bus_stop_13
req-4-2569086678_0;0.0001;0.1001;0.1;bus_stop_13
req-1-2569086736_0;0.0001;0.1001;0.1;bus_stop_13
req-12-255191437_0;0.0001;0.1001;0.1;bus_stop_14
req-12-255191448_0;0.0001;0.1001;0.1;bus_stop_14
req-12-255191467_0;0.0001;0.1001;0.1;bus_stop_14
req-2-2570830459_0;0.0001;0.1001;0.1;bus_stop_14
req-3-1432574912_0;0.0001;0.1001;0.1;bus_stop_7
req-3-1432574984_0;0.0001;0.1001;0.1;bus_stop_7
req-3-1432574929_0;0.0001;0.1001;0.1;bus_stop_7
req-3-1432574869_0;0.0001;0.1001;0.1;bus_stop_7
req-11-255595844_0;0.0001;0.1001;0.1;bus_stop_8
req-4-255595844_0;0.0001;0.1001;0.1;bus_stop_8
req-4-255595784_0;0.0001;0.1001;0.1;bus_stop_8
req-4-255595787_0;0.0001;0.1001;0.1;bus_stop_8
req-15-1451034444_0;0.0001;0.1001;0.1;bus_stop_12
req-13-1451034444_0;0.0001;0.1001;0.1;bus_stop_12
req-12-1451034432_0;0.0001;0.1001;0.1;bus_stop_12
req-6-255596789_0;0.0001;0.1001;0.1;bus_stop_12
req-8-1371509882_0;0.0001;0.1001;0.1;bus_stop_5
req-8-1432574918_0;0.0001;0.1001;0.1;bus_stop_5
req-8-12146777_0;0.0001;0.1001;0.1;bus_stop_5
req-6-12146777_0;0.0001;0.1001;0.1;bus_stop_5
req-9-12146760_0;0.0001;0.1001;0.1;bus_stop_10
req-9-1371510111_0;0.0001;0.1001;0.1;bus_stop_10
req-9-12146767_0;0.0001;0.1001;0.1;bus_stop_10
req-9-1371510128_0;0.0001;0.1001;0.1;bus_stop_10
req-16-255190814_0;0.0001;0.1001;0.1;bus_stop_11
req-15-1480037117_0;0.0001;0.1001;0.1;bus_stop_11
req-13-1480037117_0;0.0001;0.1001;0.1;bus_stop_11
req-12-1480037114_0;0.0001;0.1001;0.1;bus_stop_11
req-15-581942026_0;0.0001;0.1001;0.1;bus_stop_4
req-15-581942052_0;0.0001;0.1001;0.1;bus_stop_4
req-13-581942026_0;0.0001;0.1001;0.1;bus_stop_4
req-13-581942052_0;0.0001;0.1001;0.1;bus_stop_4
req-21-1480037096_0;0.0001;0.1001;0.1;bus_stop_6
req-21-1480037098_0;0.0001;0.1001;0.1;bus_stop_6
req-21-255190828_0;0.0001;0.1001;0.1;bus_stop_6
req-16-1480037096_0;0.0001;0.1001;0.1;bus_stop_6
req-74-255200417_0;0.0001;0.1001;0.1;bus_stop_3
req-69-255200417_0;0.0001;0.1001;0.1;bus_stop_3
req-28-255200417_0;0.0001;0.1001;0.1;bus_stop_3
req-28-1469068934_0;0.0001;0.1001;0.1;bus_stop_3
req-2-2569086797_0;0.0001;0.1001;0.1;bus_stop_0
req-1-255596112_0;0.0001;0.1001;0.1;bus_stop_0
req-1-255596094_0;0.0001;0.1001;0.1;bus_stop_0
req-1-255596018_0;0.0001;0.1001;0.1;bus_stop_0
req-2-255596094_0;0.1008;0.2008;0.1;bus_stop_0
req-2-2570830451_0;0.1008;0.2008;0.1;bus_stop_0
req-2-255596112_0;0.1008;0.2008;0.1;bus_stop_0
req-2-255596109_0;0.1008;0.2008;0.1;bus_stop_0
req-3-1432574912_1;0.1008;0.2008;0.1;bus_stop_7
req-3-1432574863_1;0.1008;0.2008;0.1;bus_stop_7
req-4-255595828_1;0.101;0.201;0.1;bus_stop_8
req-4-255595665_1;0.1011;0.2011;0.1;bus_stop_8
req-11-255595921_0;0.1012;0.2012;0.1;bus_stop_13
req-6-255596017_0;0.1012;0.2012;0.1;bus_stop_13
req-6-1432574832_0;0.1012;0.2012;0.1;bus_stop_13
req-6-255595921_0;0.1012;0.2012;0.1;bus_stop_13
req-12-255191048_0;0.1012;0.2012;0.1;bus_stop_2
req-12-255200029_0;0.1012;0.2012;0.1;bus_stop_2
req-10-9983238121_0;0.1012;0.2012;0.1;bus_stop_2
req-8-8255515229_0;0.1012;0.2012;0.1;bus_stop_2
req-9-1371509865_0;0.1012;0.2012;0.1;bus_stop_5
req-9-1371510173_0;0.1012;0.2012;0.1;bus_stop_5
req-8-1371510304_0;0.1012;0.2012;0.1;bus_stop_5
req-8-1371510260_0;0.1012;0.2012;0.1;bus_stop_5
req-10-1371509982_0;0.1012;0.2012;0.1;bus_stop_10
req-10-12146756_0;0.1012;0.2012;0.1;bus_stop_10
req-10-1371510111_0;0.1012;0.2012;0.1;bus_stop_10
req-9-1371509982_0;0.1012;0.2012;0.1;bus_stop_10
req-12-581942559_0;0.1012;0.2012;0.1;bus_stop_15
req-11-10915667342_0;0.1012;0.2012;0.1;bus_stop_15
req-11-12146784_0;0.1012;0.2012;0.1;bus_stop_9
req-11-1469058565_0;0.1012;0.2012;0.1;bus_stop_9
req-6-12146784_0;0.1012;0.2012;0.1;bus_stop_9
req-11-10915667367_0;0.1012;0.2012;0.1;bus_stop_1
req-8-10915667490_0;0.1012;0.2012;0.1;bus_stop_1
req-6-10915667367_0;0.1012;0.2012;0.1;bus_stop_1
req-12-255191472_0;0.1012;0.2012;0.1;bus_stop_14
req-5-1432574929_0;0.1012;0.2012;0.1;bus_stop_7
req-5-1432574912_0;0.1012;0.2012;0.1;bus_stop_7
