id;start_time;finish_time;duration;source_host;destination_host
comm1@req-1-255596028_0@bus_stop_0@bus_stop_9;0.0008;0.010805;0.010005;bus_stop_0;bus_stop_9
comm1@req-1-255191075_0@bus_stop_0@bus_stop_9;0.001;0.011005;0.010005;bus_stop_0;bus_stop_9
comm1@req-1-2569086736_0@bus_stop_0@bus_stop_13;0.0011;0.011105;0.010005;bus_stop_0;bus_stop_13
comm1@req-2-11383382298_0@bus_stop_1@bus_stop_16;0.0014;0.011405;0.010005;bus_stop_1;bus_stop_16
comm1@req-4-10915667342_0@bus_stop_1@bus_stop_15;0.003;0.013005;0.010005;bus_stop_1;bus_stop_15
comm1@req-8-12146777_0@bus_stop_10@bus_stop_5;0.0051;0.015105;0.010005;bus_stop_10;bus_stop_5
comm1@req-8-1432574918_0@bus_stop_10@bus_stop_5;0.0053;0.015305;0.010005;bus_stop_10;bus_stop_5
comm1@req-8-1371509882_0@bus_stop_10@bus_stop_5;0.0056;0.015605;0.010005;bus_stop_10;bus_stop_5
comm1@req-8-1371510260_0@bus_stop_10@bus_stop_5;0.0057;0.015705;0.010005;bus_stop_10;bus_stop_5
comm1@req-8-1371510304_0@bus_stop_10@bus_stop_5;0.0058;0.015805;0.010005;bus_stop_10;bus_stop_5
comm1@req-9-1371510173_0@bus_stop_10@bus_stop_5;0.0059;0.015905;0.010005;bus_stop_10;bus_stop_5
comm1@req-9-1371509865_0@bus_stop_10@bus_stop_5;0.006;0.016005;0.010005;bus_stop_10;bus_stop_5
comm2@req-1-255596028_0@bus_stop_9@bus_stop_0;0.010805;0.02081;0.010005;bus_stop_9;bus_stop_0
comm2@req-1-255191075_0@bus_stop_9@bus_stop_0;0.011005;0.02101;0.010005;bus_stop_9;bus_stop_0
comm2@req-1-2569086736_0@bus_stop_13@bus_stop_0;0.011105;0.02111;0.010005;bus_stop_13;bus_stop_0
comm2@req-2-11383382298_0@bus_stop_16@bus_stop_1;0.011405;0.02141;0.010005;bus_stop_16;bus_stop_1
comm1@req-16-1480037096_0@bus_stop_11@bus_stop_6;0.0118;0.021805;0.010005;bus_stop_11;bus_stop_6
comm1@req-18-1371510173_0@bus_stop_12@bus_stop_5;0.0127;0.022705;0.010005;bus_stop_12;bus_stop_5
comm1@req-18-1371509865_0@bus_stop_12@bus_stop_5;0.013;0.023005;0.010005;bus_stop_12;bus_stop_5
comm2@req-4-10915667342_0@bus_stop_15@bus_stop_1;0.013005;0.02301;0.010005;bus_stop_15;bus_stop_1
comm1@req-18-1432574901_0@bus_stop_12@bus_stop_5;0.0134;0.023405;0.010005;bus_stop_12;bus_stop_5
comm1@req-18-1432574919_0@bus_stop_12@bus_stop_0;0.0135;0.023505;0.010005;bus_stop_12;bus_stop_0
comm1@req-18-1371509882_0@bus_stop_12@bus_stop_5;0.0136;0.023605;0.010005;bus_stop_12;bus_stop_5
comm1@req-20-1371509865_0@bus_stop_12@bus_stop_5;0.0148;0.024805;0.010005;bus_stop_12;bus_stop_5
comm1@req-20-1371510173_0@bus_stop_12@bus_stop_5;0.0151;0.025105;0.010005;bus_stop_12;bus_stop_5
comm2@req-8-12146777_0@bus_stop_5@bus_stop_10;0.015105;0.02511;0.010005;bus_stop_5;bus_stop_10
comm2@req-8-1432574918_0@bus_stop_5@bus_stop_10;0.015305;0.02531;0.010005;bus_stop_5;bus_stop_10
comm2@req-8-1371509882_0@bus_stop_5@bus_stop_10;0.015605;0.02561;0.010005;bus_stop_5;bus_stop_10
comm2@req-8-1371510260_0@bus_stop_5@bus_stop_10;0.015705;0.02571;0.010005;bus_stop_5;bus_stop_10
comm2@req-8-1371510304_0@bus_stop_5@bus_stop_10;0.015805;0.02581;0.010005;bus_stop_5;bus_stop_10
comm2@req-9-1371510173_0@bus_stop_5@bus_stop_10;0.015905;0.02591;0.010005;bus_stop_5;bus_stop_10
comm2@req-9-1371509865_0@bus_stop_5@bus_stop_10;0.016005;0.02601;0.010005;bus_stop_5;bus_stop_10
comm1@req-22-2569086797_0@bus_stop_13@bus_stop_0;0.0163;0.026305;0.010005;bus_stop_13;bus_stop_0
comm1@req-22-255596109_0@bus_stop_13@bus_stop_0;0.0166;0.026605;0.010005;bus_stop_13;bus_stop_0
comm1@req-22-255596112_0@bus_stop_13@bus_stop_0;0.0168;0.026805;0.010005;bus_stop_13;bus_stop_0
comm1@req-22-2570830451_0@bus_stop_13@bus_stop_0;0.0169;0.026905;0.010005;bus_stop_13;bus_stop_0
comm1@req-12-255191467_0@bus_stop_11@bus_stop_14;0.0085;0.02851;0.02001;bus_stop_11;bus_stop_14
comm1@req-12-255191448_0@bus_stop_11@bus_stop_14;0.0086;0.02861;0.02001;bus_stop_11;bus_stop_14
comm1@req-12-255191437_0@bus_stop_11@bus_stop_14;0.0087;0.02871;0.02001;bus_stop_11;bus_stop_14
comm1@req-12-255191472_0@bus_stop_11@bus_stop_14;0.0088;0.02881;0.02001;bus_stop_11;bus_stop_14
comm1@req-13-1451034425_0@bus_stop_11@bus_stop_14;0.0096;0.02961;0.02001;bus_stop_11;bus_stop_14
comm1@req-13-255191448_0@bus_stop_11@bus_stop_14;0.0097;0.02971;0.02001;bus_stop_11;bus_stop_14
comm1@req-13-255191459_0@bus_stop_11@bus_stop_14;0.0098;0.02981;0.02001;bus_stop_11;bus_stop_14
comm1@req-27-255596112_0@bus_stop_13@bus_stop_0;0.0206;0.030605;0.010005;bus_stop_13;bus_stop_0
comm1@req-27-255596094_0@bus_stop_13@bus_stop_0;0.0207;0.030705;0.010005;bus_stop_13;bus_stop_0
comm1@req-27-255596018_0@bus_stop_13@bus_stop_0;0.021;0.031005;0.010005;bus_stop_13;bus_stop_0
comm1@req-2-2570830459_0@bus_stop_1@bus_stop_14;0.0012;0.031215;0.030015;bus_stop_1;bus_stop_14
comm1@req-15-1451034425_0@bus_stop_11@bus_stop_14;0.0113;0.03131;0.02001;bus_stop_11;bus_stop_14
comm1@req-15-255191448_0@bus_stop_11@bus_stop_14;0.0114;0.03141;0.02001;bus_stop_11;bus_stop_14
comm1@req-15-255191459_0@bus_stop_11@bus_stop_14;0.0115;0.03151;0.02001;bus_stop_11;bus_stop_14
comm2@req-16-1480037096_0@bus_stop_6@bus_stop_11;0.021805;0.03181;0.010005;bus_stop_6;bus_stop_11
comm1@req-3-8255515226_0@bus_stop_1@bus_stop_2;0.0022;0.032215;0.030015;bus_stop_1;bus_stop_2
comm2@req-18-1371510173_0@bus_stop_5@bus_stop_12;0.022705;0.03271;0.010005;bus_stop_5;bus_stop_12
comm1@req-18-12146767_0@bus_stop_12@bus_stop_10;0.0128;0.03281;0.02001;bus_stop_12;bus_stop_10
comm1@req-18-1371510128_0@bus_stop_12@bus_stop_10;0.0129;0.03291;0.02001;bus_stop_12;bus_stop_10
comm2@req-18-1371509865_0@bus_stop_5@bus_stop_12;0.023005;0.03301;0.010005;bus_stop_5;bus_stop_12
comm1@req-18-1371510111_0@bus_stop_12@bus_stop_10;0.0131;0.03311;0.02001;bus_stop_12;bus_stop_10
comm1@req-5-8255515226_0@bus_stop_1@bus_stop_2;0.0031;0.033115;0.030015;bus_stop_1;bus_stop_2
comm1@req-18-12146760_0@bus_stop_12@bus_stop_10;0.0132;0.03321;0.02001;bus_stop_12;bus_stop_10
comm1@req-31-255190815_0@bus_stop_14@bus_stop_6;0.0233;0.033305;0.010005;bus_stop_14;bus_stop_6
comm1@req-18-1371509982_0@bus_stop_12@bus_stop_10;0.0133;0.03331;0.02001;bus_stop_12;bus_stop_10
comm2@req-18-1432574901_0@bus_stop_5@bus_stop_12;0.023405;0.03341;0.010005;bus_stop_5;bus_stop_12
comm1@req-31-1480037098_0@bus_stop_14@bus_stop_6;0.0235;0.033505;0.010005;bus_stop_14;bus_stop_6
comm2@req-18-1432574919_0@bus_stop_0@bus_stop_12;0.023505;0.03351;0.010005;bus_stop_0;bus_stop_12
comm2@req-18-1371509882_0@bus_stop_5@bus_stop_12;0.023605;0.03361;0.010005;bus_stop_5;bus_stop_12
comm1@req-19-255595834_0@bus_stop_12@bus_stop_9;0.0137;0.03371;0.02001;bus_stop_12;bus_stop_9
comm1@req-19-12146782_0@bus_stop_12@bus_stop_13;0.0138;0.03381;0.02001;bus_stop_12;bus_stop_13
comm1@req-31-255190828_0@bus_stop_14@bus_stop_6;0.0239;0.033905;0.010005;bus_stop_14;bus_stop_6
comm1@req-19-255596808_0@bus_stop_12@bus_stop_13;0.0142;0.03421;0.02001;bus_stop_12;bus_stop_13
comm1@req-19-255595921_0@bus_stop_12@bus_stop_13;0.0143;0.03431;0.02001;bus_stop_12;bus_stop_13
comm1@req-19-1432574832_0@bus_stop_12@bus_stop_13;0.0144;0.03441;0.02001;bus_stop_12;bus_stop_13
comm1@req-20-12146760_0@bus_stop_12@bus_stop_10;0.0145;0.03451;0.02001;bus_stop_12;bus_stop_10
comm1@req-20-12146767_0@bus_stop_12@bus_stop_10;0.0146;0.03461;0.02001;bus_stop_12;bus_stop_10
comm1@req-20-1371509982_0@bus_stop_12@bus_stop_10;0.0147;0.03471;0.02001;bus_stop_12;bus_stop_10
comm2@req-20-1371509865_0@bus_stop_5@bus_stop_12;0.024805;0.03481;0.010005;bus_stop_5;bus_stop_12
comm1@req-20-1371510111_0@bus_stop_12@bus_stop_10;0.0149;0.03491;0.02001;bus_stop_12;bus_stop_10
comm1@req-20-1371510128_0@bus_stop_12@bus_stop_10;0.015;0.03501;0.02001;bus_stop_12;bus_stop_10
comm1@req-8-1432574946_0@bus_stop_10@bus_stop_0;0.005;0.035015;0.030015;bus_stop_10;bus_stop_0
comm2@req-20-1371510173_0@bus_stop_5@bus_stop_12;0.025105;0.03511;0.010005;bus_stop_5;bus_stop_12
comm1@req-8-1432574941_0@bus_stop_10@bus_stop_0;0.0054;0.035415;0.030015;bus_stop_10;bus_stop_0
comm1@req-22-255596027_0@bus_stop_12@bus_stop_9;0.016;0.03601;0.02001;bus_stop_12;bus_stop_9
comm1@req-35-10915667367_0@bus_stop_16@bus_stop_1;0.0263;0.036305;0.010005;bus_stop_16;bus_stop_1
comm2@req-22-2569086797_0@bus_stop_0@bus_stop_13;0.026305;0.03631;0.010005;bus_stop_0;bus_stop_13
comm1@req-22-255596055_0@bus_stop_13@bus_stop_9;0.0165;0.03651;0.02001;bus_stop_13;bus_stop_9
comm2@req-22-255596109_0@bus_stop_0@bus_stop_13;0.026605;0.03661;0.010005;bus_stop_0;bus_stop_13
comm2@req-22-255596112_0@bus_stop_0@bus_stop_13;0.026805;0.03681;0.010005;bus_stop_0;bus_stop_13
