id;start_time;finish_time;duration;total_time_execs;total_time_comms;amount_comms
req-1;0.0008;0.9022;0.9014;1.5;1.0705;28.0
req-0;0.121;0.9224;0.8014;1.2;1.4407;26.0
req-5;0.1009;0.9425;0.8416;1.0;1.1906;28.0
req-7;0.1119;0.9441;0.8322;1.0;0.9605;25.0
req-3;0.1009;1.0072;0.9063;1.0;1.1906;23.0
req-4;0.0027;1.0225;1.0198;1.9;1.991;45.0
req-6;0.0043;1.0229;1.0186;1.8;2.3712;48.0
req-12;0.0089;1.023;1.0141;1.9;1.991;50.0
req-2;0.0012;1.1026;1.1014;1.7;1.4907;29.0
req-11;0.1338;1.1031;0.9693;1.7;1.7809;41.0
req-13;0.0101;1.1044;1.0943;1.7;1.4007;39.0
req-17;0.0122;1.123;1.1108;1.7;1.6308;34.0
req-14;0.2214;1.1247;0.9033;1.9;2.041;47.0
req-8;0.0252;1.143;1.1178;1.7;1.8909;44.0
req-9;0.0059;1.1431;1.1372;2.1;2.7413;47.0
req-15;0.0118;1.2027;1.1909;1.7;1.6608;46.0
req-21;0.2464;1.2033;0.9569;1.5;1.8009;40.0
req-25;0.3402;1.2035;0.8633;1.7;1.4607;42.0
req-16;0.0119;1.2267;1.2148;1.2;1.1806;31.0
req-19;0.2399;1.2448;1.0049;1.8;1.5708;43.0
req-18;0.0328;1.3028;1.27;2.1;2.3912;57.0
req-23;0.3257;1.3034;0.9777;2.2;2.2911;62.0
req-24;0.3375;1.3036;0.9661;1.5;1.2206;35.0
req-26;0.4337;1.3268;0.8931;1.7;1.5808;43.0
req-33;0.5339;1.328;0.7941;1.2;0.7604;31.0
req-22;0.0162;1.3434;1.3272;2.1;2.6413;59.0
req-20;0.0349;1.3459;1.311;1.4;1.5207;34.0
req-32;0.5267;1.3661;0.8394;1.0;0.9605;28.0
req-31;0.0434;1.4521;1.4087;1.5;1.1105;41.0
req-10;0.1321;1.4554;1.3233;2.2;3.5918;56.0
req-29;0.4404;1.5031;1.0627;1.1;1.5908;28.0
req-30;0.4451;1.5036;1.0585;1.5;1.8209;41.0
req-35;0.5409;1.5066;0.9657;1.8;2.4212;47.0
req-34;0.0251;1.5066;1.4815;1.4;1.2606;30.0
req-40;0.7376;1.5357;0.7981;0.9;1.0005;21.0
req-27;0.0213;1.5461;1.5248;1.5;1.5308;37.0
req-28;0.4376;1.5633;1.1257;1.3;1.961;30.0
req-39;0.7287;1.6038;0.8751;1.5;1.6308;33.0
req-36;0.5443;1.6233;1.079;1.9;2.6013;48.0
req-42;0.742;1.7213;0.9793;1.3;1.4507;33.0
req-49;0.9419;1.7234;0.7815;0.5;0.7604;10.0
req-38;0.6419;1.7242;1.0823;1.8;2.7013;48.0
