id;start_time;finish_time;duration;host
req-1-255596094_0;0.0008;0.1008;0.1;bus_stop_0
req-1-255596018_0;0.0008;0.1008;0.1;bus_stop_0
req-1-255596112_0;0.0009;0.1009;0.1;bus_stop_0
req-2-2569086797_0;0.0012;0.1012;0.1;bus_stop_0
req-2-11383367761_0;0.0013;0.1013;0.1;bus_stop_1
req-4-11378562276_0;0.0027;0.1027;0.1;bus_stop_1
req-4-10915667347_0;0.0031;0.1031;0.1;bus_stop_1
req-6-10915667367_0;0.0043;0.1043;0.1;bus_stop_1
req-9-12146767_0;0.0059;0.1059;0.1;bus_stop_10
req-9-1371510128_0;0.0059;0.1059;0.1;bus_stop_10
req-9-12146760_0;0.0061;0.1061;0.1;bus_stop_10
req-9-1371510111_0;0.0061;0.1061;0.1;bus_stop_10
req-12-1480037114_0;0.0089;0.1089;0.1;bus_stop_11
req-13-1480037117_0;0.0101;0.1101;0.1;bus_stop_11
req-15-1480037117_0;0.0118;0.1118;0.1;bus_stop_11
req-16-255190814_0;0.0119;0.1119;0.1;bus_stop_11
req-17-255191060_0;0.0122;0.1122;0.1;bus_stop_12
req-17-2569087094_0;0.0123;0.1123;0.1;bus_stop_12
req-17-1451034444_0;0.0124;0.1124;0.1;bus_stop_12
req-22-255596162_0;0.0162;0.1162;0.1;bus_stop_12
req-1-255596028_0;0.0209;0.1209;0.1;bus_stop_13
req-1-255191075_0;0.0211;0.1211;0.1;bus_stop_13
req-1-2569086736_0;0.0212;0.1212;0.1;bus_stop_13
req-27-2569086736_0;0.0213;0.1213;0.1;bus_stop_13
req-2-11383382298_0;0.0215;0.1215;0.1;bus_stop_14
req-4-10915667342_0;0.0231;0.1231;0.1;bus_stop_14
req-34-255191472_0;0.0251;0.1251;0.1;bus_stop_14
req-34-255191437_0;0.0251;0.1251;0.1;bus_stop_14
req-8-12146777_0;0.0252;0.1252;0.1;bus_stop_15
req-8-1432574918_0;0.0254;0.1254;0.1;bus_stop_15
req-8-1371509882_0;0.0257;0.1257;0.1;bus_stop_15
req-8-1371510260_0;0.0258;0.1258;0.1;bus_stop_15
req-8-1371510304_0;0.0259;0.1259;0.1;bus_stop_16
req-9-1371510173_0;0.026;0.126;0.1;bus_stop_16
req-9-1371509865_0;0.0261;0.1261;0.1;bus_stop_16
req-16-1480037096_0;0.0319;0.1319;0.1;bus_stop_16
req-18-1371510173_0;0.0328;0.1328;0.1;bus_stop_2
req-18-1371509865_0;0.0331;0.1331;0.1;bus_stop_2
req-44-9983238121_0;0.0333;0.1333;0.1;bus_stop_2
req-18-1432574901_0;0.0335;0.1335;0.1;bus_stop_2
req-18-1432574919_0;0.0336;0.1336;0.1;bus_stop_3
req-18-1371509882_0;0.0337;0.1337;0.1;bus_stop_3
req-20-1371509865_0;0.0349;0.1349;0.1;bus_stop_3
req-20-1371510173_0;0.0352;0.1352;0.1;bus_stop_3
req-22-2569086797_0;0.0364;0.1364;0.1;bus_stop_4
req-22-255596109_0;0.0367;0.1367;0.1;bus_stop_4
req-22-255596112_0;0.0369;0.1369;0.1;bus_stop_4
req-22-2570830451_0;0.037;0.137;0.1;bus_stop_4
req-52-1371510515_0;0.039;0.139;0.1;bus_stop_5
req-52-1371509882_0;0.039;0.139;0.1;bus_stop_5
req-52-1371510304_0;0.0392;0.1392;0.1;bus_stop_5
req-52-1371510260_0;0.0392;0.1392;0.1;bus_stop_5
req-53-255595238_0;0.0394;0.1394;0.1;bus_stop_6
req-53-255595328_0;0.0394;0.1394;0.1;bus_stop_6
req-53-255190815_0;0.0395;0.1395;0.1;bus_stop_6
req-53-1480037106_0;0.0395;0.1395;0.1;bus_stop_6
req-27-255596112_0;0.0407;0.1407;0.1;bus_stop_7
req-27-255596094_0;0.0408;0.1408;0.1;bus_stop_7
req-27-255596018_0;0.0411;0.1411;0.1;bus_stop_7
req-58-1432574912_0;0.043;0.143;0.1;bus_stop_7
req-31-255190815_0;0.0434;0.1434;0.1;bus_stop_8
req-31-1480037098_0;0.0436;0.1436;0.1;bus_stop_8
req-31-255190828_0;0.044;0.144;0.1;bus_stop_8
req-60-2569108697_0;0.0444;0.1444;0.1;bus_stop_8
req-61-255596055_0;0.0452;0.1452;0.1;bus_stop_9
req-62-255596028_0;0.0457;0.1457;0.1;bus_stop_9
req-62-255191075_0;0.0457;0.1457;0.1;bus_stop_9
req-62-12146784_0;0.0458;0.1458;0.1;bus_stop_9
req-5-8255515226_0;0.1009;0.2009;0.1;bus_stop_0
req-3-8255515226_0;0.1009;0.2009;0.1;bus_stop_0
req-2-2570830459_0;0.1009;0.2009;0.1;bus_stop_0
req-6-255596017_0;0.1013;0.2013;0.1;bus_stop_0
req-8-1432574946_0;0.1013;0.2013;0.1;bus_stop_1
req-3-1432574869_0;0.1028;0.2028;0.1;bus_stop_1
req-3-1432574929_0;0.1032;0.2032;0.1;bus_stop_1
req-3-1432574984_0;0.1044;0.2044;0.1;bus_stop_1
req-5-1432574912_0;0.106;0.206;0.1;bus_stop_10
req-3-1432574912_0;0.106;0.206;0.1;bus_stop_10
req-5-1432574869_0;0.1062;0.2062;0.1;bus_stop_10
req-5-1432574929_0;0.1062;0.2062;0.1;bus_stop_10
req-5-1432574984_0;0.1089;0.2089;0.1;bus_stop_11
req-6-2569086944_0;0.1101;0.2101;0.1;bus_stop_11
req-7-1432574912_0;0.1119;0.2119;0.1;bus_stop_11
req-6-2923178604_0;0.1119;0.2119;0.1;bus_stop_11
req-7-1432574869_0;0.1123;0.2123;0.1;bus_stop_12
req-7-1432574929_0;0.1123;0.2123;0.1;bus_stop_12
req-7-1432574984_0;0.1125;0.2125;0.1;bus_stop_12
req-8-1432574941_0;0.1163;0.2163;0.1;bus_stop_12
req-0-255190984_0;0.121;0.221;0.1;bus_stop_13
req-0-1469068918_0;0.1212;0.2212;0.1;bus_stop_13
req-0-2569086820_0;0.1212;0.2212;0.1;bus_stop_13
req-0-9143229517_0;0.1214;0.2214;0.1;bus_stop_13
req-9-1432574919_0;0.1218;0.2218;0.1;bus_stop_14
req-4-2569086678_0;0.1231;0.2231;0.1;bus_stop_14
req-4-2569086780_0;0.1251;0.2251;0.1;bus_stop_14
req-4-255595787_0;0.1251;0.2251;0.1;bus_stop_14
req-4-255595784_0;0.1252;0.2252;0.1;bus_stop_15
