id;start_time;finish_time;duration;total_time_execs;total_time_comms;amount_comms
req-3;0.0001;0.5013;0.5012;1.0;0.04;1.0
req-5;0.0001;0.602;0.6019;1.0;0.04;1.0
req-0;0.0001;0.6027;0.6026;1.2;0.05;4.0
req-65;0.1013;0.6063;0.505;0.9;0;0
req-4;0.0001;0.7015;0.7014;1.9;0.7304;14.0
req-13;0.0001;0.7057;0.7056;1.7;0.1501;8.0
req-12;0.0001;0.7744;0.7743;1.9;0.4602;11.0
req-1;0.0001;0.8016;0.8015;1.5;0.4302;12.0
req-28;0.0001;0.8068;0.8067;1.3;0.08;4.0
req-9;0.0001;0.9031;0.903;2.1;0.4802;15.0
req-2;0.0001;0.9042;0.9041;1.7;1.0705;19.0
req-7;0.0001;1.0021;1.002;1.0;0.04;1.0
req-17;0.1013;1.0023;0.901;1.7;0.3001;9.0
req-8;0.0001;1.0025;1.0024;1.7;0.6303;12.0
req-14;0.1013;1.0036;0.9023;1.9;0.7204;16.0
req-15;0.0001;1.0038;1.0037;1.7;0.1501;8.0
req-24;0.1013;1.0063;0.905;1.5;0.1801;8.0
req-11;0.0001;1.1038;1.1037;1.7;0.5803;14.0
req-21;0.0001;1.1064;1.1063;1.5;0.1101;6.0
req-31;0.2035;1.1071;0.9036;1.5;0.1801;8.0
req-6;0.0001;1.2039;1.2038;1.8;0.7103;18.0
req-10;0.1012;1.2041;1.1029;2.2;0.7304;17.0
req-22;0.1013;1.3025;1.2012;2.1;1.0905;22.0
req-16;0.0001;1.3045;1.3044;1.2;0.4502;14.0
req-33;0.4057;1.3058;0.9001;1.2;0.05;4.0
req-88;0.7069;1.3084;0.6015;0.9;0;0
req-26;0.2035;1.4027;1.1992;1.7;0.3001;9.0
req-19;0.3013;1.4027;1.1014;1.8;0.7604;18.0
req-25;0.2035;1.4053;1.2018;1.7;0.1601;8.0
req-39;0.4057;1.4067;1.001;1.5;0.1101;6.0
req-27;0.1013;1.5027;1.4014;1.5;0.4302;12.0
req-32;0.4057;1.503;1.0973;1.0;0.04;1.0
req-34;0.3049;1.5082;1.2033;1.4;0.08;6.0
req-95;0.9051;1.5092;0.6041;0.9;0;0
req-30;0.2035;1.513;1.3095;1.5;0.4302;12.0
req-58;0.7021;1.5429;0.8408;1.0;0.04;1.0
req-42;0.7021;1.6058;0.9037;1.3;0.3802;13.0
req-40;0.3049;1.6071;1.3022;0.9;0.09;5.0
req-18;0.2032;1.703;1.4998;2.1;0.4802;15.0
req-45;0.4057;1.7031;1.2974;1.2;0.05;4.0
req-49;0.4057;1.7059;1.3002;0.5;0.03;3.0
req-36;0.5063;1.7059;1.1996;1.9;0.7304;14.0
req-20;0.4053;1.8031;1.3978;1.4;0.4502;13.0
req-38;0.6066;1.8033;1.1967;1.8;0.8304;16.0
req-35;0.3049;1.806;1.5011;1.8;0.7103;18.0
req-43;0.5063;1.806;1.2997;1.4;0.08;6.0
req-60;0.1013;1.8461;1.7448;1.5;0.4902;16.0
req-50;0.9028;1.9038;1.001;1.3;0.3302;9.0
req-70;0.2035;1.9235;1.72;1.0;0.03;3.0
req-47;0.3049;2.0062;1.7013;1.7;0.1601;8.0
req-29;0.6021;2.0247;1.4226;1.1;0.1701;5.0
req-74;0.0001;2.0343;2.0342;1.3;0.1201;7.0
req-98;1.2053;2.0343;0.829;1.5;0.05;5.0
req-76;0.6068;2.0463;1.4395;1.0;0.03;3.0
req-64;0.1013;2.0542;1.9529;1.5;0.4902;16.0
req-61;1.0026;2.104;1.1014;1.3;0.3302;9.0
req-23;0.2034;2.1051;1.9017;2.2;0.7304;17.0
req-48;0.7069;2.1089;1.402;1.4;0.08;6.0
req-53;0.9073;2.1295;1.2222;1.2;0.05;5.0
req-62;0.9073;2.2038;1.2965;1.8;0.8304;16.0
req-69;0.0001;2.2043;2.2042;0.7;0.05;4.0
req-66;0.4057;2.2073;1.8016;1.7;0.3001;9.0
req-37;0.6051;2.3053;1.7002;2.2;0.7304;17.0
req-51;0.8072;2.3078;1.5006;1.3;0.1801;9.0
req-54;0.4057;2.3364;1.9307;1.7;0.1601;8.0
req-89;0.2035;2.3409;2.1374;1.3;0.1201;7.0
req-67;1.0076;2.4041;1.3965;1.9;0.7304;14.0
req-84;0.1013;2.4147;2.3134;0.7;0.05;4.0
req-68;1.1081;2.4242;1.3161;1.9;0.7204;16.0
req-72;0.5063;2.5039;1.9976;1.7;0.3001;9.0
req-55;0.8053;2.5083;1.703;1.2;0.5403;6.0
req-80;1.103;2.5471;1.4441;1.8;0.3902;10.0
req-91;1.6062;2.5645;0.9583;0.8;0.2601;6.0
req-41;0.6062;2.6037;1.9975;1.7;0.6303;12.0
req-77;0.6044;2.6039;1.9995;1.7;0.3001;9.0
req-82;0.6068;2.6142;2.0074;1.5;0.4302;12.0
req-56;0.9055;2.6279;1.7224;1.6;0.6103;15.0
req-63;1.2082;2.628;1.4198;1.2;0.05;5.0
req-81;1.4092;2.7291;1.3199;1.5;0.1801;8.0
req-90;1.5056;2.788;1.2824;1.7;0.5803;14.0
req-94;1.7065;2.8046;1.0981;0.9;0.4402;8.0
req-44;0.6062;2.9059;2.2997;2.2;0.7304;17.0
req-99;1.3053;2.9384;1.6331;1.5;0.4902;16.0
req-46;0.7065;3.0059;2.2994;2.2;0.7304;17.0
req-97;1.6098;3.0387;1.4289;1.8;0.8304;16.0
req-52;0.8034;3.206;2.4026;2.2;0.7304;17.0
